"Office Location","Activity Type","Site Name","Pollution Level Detected"
Sydney,"Noise Level Measurement","Merewether Beach",405.05
Adelaide,"Water Quality Test","King Edward Park",405.04
"Gold Coast","Soil Quality Test","Mount Sugarloaf",405.03
Perth,"Soil Quality Test","Waratah Park",405.02
Canberra,"Noise Level Measurement","Newcastle Beach",404.99
Hobart,"Air Quality Check","Glenrock State Conservation Area",404.97
Hobart,"Soil Quality Test","Waratah Park",404.7
Melbourne,"Noise Level Measurement","Warners Bay Foreshore",404.64
Perth,"Water Quality Test","Awaba State Forest",404.62
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",404.58
Canberra,"Air Quality Check","Richley Reserve",404.56
Newcastle,"Noise Level Measurement","Heaton State Forest",404.54
Adelaide,"Soil Quality Test","Mount Sugarloaf",404.53
Hobart,"Air Quality Check","Heaton State Forest",404.44
"Gold Coast","Water Quality Test","Belmont Wetlands State Park",404.41
Newcastle,"Soil Quality Test","Waratah Park",404.4
Sydney,"Noise Level Measurement","King Edward Park",404.38
Perth,"Air Quality Check","Charlestown Park",404.35
"Gold Coast","Soil Quality Test","Lambton Park",404.34
Darwin,"Noise Level Measurement","Braye Park",404.28
Brisbane,"Water Quality Test","Awaba State Forest",404.25
Melbourne,"Soil Quality Test","Hunter Wetlands Centre",404.21
Hobart,"Soil Quality Test","Newcastle Beach",404.16
Perth,"Noise Level Measurement","Waratah Park",404.15
Darwin,"Noise Level Measurement","Merewether Beach",404.1
Sydney,"Air Quality Check","Lambton Park",404.05
Newcastle,"Noise Level Measurement","Richley Reserve",404
Perth,"Noise Level Measurement","Waratah Park",403.96
Hobart,"Soil Quality Test","Richley Reserve",403.94
Newcastle,"Air Quality Check","Waratah Park",403.93
Sydney,"Noise Level Measurement","Mount Sugarloaf",403.92
Melbourne,"Air Quality Check","Waratah Park",403.87
Melbourne,"Noise Level Measurement","Newcastle Beach",403.79
"Gold Coast","Noise Level Measurement","Speers Point Park",403.77
Brisbane,"Water Quality Test","Braye Park",403.73
Newcastle,"Noise Level Measurement","Warners Bay Foreshore",403.7
Sydney,"Water Quality Test","King Edward Park",403.67
Sydney,"Water Quality Test","Hunter Wetlands Centre",403.64
Adelaide,"Air Quality Check","Toronto Foreshore",403.62
Newcastle,"Air Quality Check","Nobbys Beach",403.57
Newcastle,"Air Quality Check","Heaton State Forest",403.54
Newcastle,"Noise Level Measurement","Richley Reserve",403.53
Canberra,"Noise Level Measurement","Heaton State Forest",403.5
Adelaide,"Water Quality Test","Redhead Beach",403.45
Canberra,"Air Quality Check","Watagan Mountains",403.37
Adelaide,"Air Quality Check","King Edward Park",403.37
Sydney,"Water Quality Test","King Edward Park",403.33
Sydney,"Soil Quality Test","Speers Point Park",403.33
Darwin,"Water Quality Test","Mount Sugarloaf",403.33
Adelaide,"Water Quality Test","King Edward Park",403.32
Darwin,"Air Quality Check","Mount Sugarloaf",403.29
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",403.17
Darwin,"Water Quality Test","Braye Park",403.11
Canberra,"Noise Level Measurement","Charlestown Park",403.05
Sydney,"Soil Quality Test","King Edward Park",403.02
Canberra,"Air Quality Check","Nobbys Beach",402.94
Canberra,"Air Quality Check","Blackbutt Nature Reserve",402.91
Canberra,"Noise Level Measurement","Newcastle Beach",402.82
Newcastle,"Air Quality Check","Blackbutt Nature Reserve",402.74
"Gold Coast","Water Quality Test","Merewether Beach",402.67
Brisbane,"Water Quality Test","King Edward Park",402.63
Canberra,"Air Quality Check","Newcastle Beach",402.55
Perth,"Air Quality Check","Jesmond Park",402.55
Adelaide,"Air Quality Check","Awaba State Forest",402.54
Darwin,"Soil Quality Test","King Edward Park",402.52
Melbourne,"Water Quality Test","Warners Bay Foreshore",402.51
Hobart,"Noise Level Measurement","Warners Bay Foreshore",402.42
Darwin,"Water Quality Test","Redhead Beach",402.35
Darwin,"Soil Quality Test","Toronto Foreshore",402.32
Brisbane,"Water Quality Test","Hunter Wetlands Centre",402.26
Newcastle,"Air Quality Check","Croudace Bay Park",402.21
Hobart,"Water Quality Test","Warners Bay Foreshore",402.19
Melbourne,"Water Quality Test","Jesmond Park",402.08
Adelaide,"Noise Level Measurement","Braye Park",402.05
Sydney,"Soil Quality Test","Mount Sugarloaf",402
Adelaide,"Noise Level Measurement","King Edward Park",401.99
Darwin,"Water Quality Test","King Edward Park",401.97
Darwin,"Soil Quality Test","King Edward Park",401.97
Melbourne,"Noise Level Measurement","Newcastle Beach",401.91
"Gold Coast","Noise Level Measurement","Braye Park",401.9
Melbourne,"Soil Quality Test","Blackbutt Nature Reserve",401.85
Melbourne,"Air Quality Check","Nobbys Beach",401.8
Brisbane,"Soil Quality Test","King Edward Park",401.72
Canberra,"Air Quality Check","Charlestown Park",401.71
"Gold Coast","Water Quality Test","Braye Park",401.68
Hobart,"Soil Quality Test","Richley Reserve",401.63
Sydney,"Noise Level Measurement","Merewether Beach",401.61
Brisbane,"Water Quality Test","Lambton Park",401.58
"Gold Coast","Soil Quality Test","Lambton Park",401.57
Brisbane,"Water Quality Test","Mount Sugarloaf",401.55
Darwin,"Noise Level Measurement","Hunter Wetlands Centre",401.55
Perth,"Noise Level Measurement","Nobbys Beach",401.5
Newcastle,"Air Quality Check","Nobbys Beach",401.49
Canberra,"Water Quality Test","Blackbutt Nature Reserve",401.42
Hobart,"Air Quality Check","Nobbys Beach",401.36
Sydney,"Noise Level Measurement","Awaba State Forest",401.35
Melbourne,"Noise Level Measurement","Heaton State Forest",401.34
Canberra,"Water Quality Test","Waratah Park",401.33
Adelaide,"Soil Quality Test","Speers Point Park",401.31
Sydney,"Water Quality Test","Toronto Foreshore",401.23
Adelaide,"Soil Quality Test","Speers Point Park",401.23
"Gold Coast","Noise Level Measurement","King Edward Park",401.2
Brisbane,"Air Quality Check","Hunter Wetlands Centre",401.17
Hobart,"Water Quality Test","Nobbys Beach",401.14
Melbourne,"Air Quality Check","Newcastle Beach",401.13
Perth,"Water Quality Test","Newcastle Beach",401.12
Perth,"Air Quality Check","Heaton State Forest",401.11
Newcastle,"Air Quality Check","Richley Reserve",401.06
Brisbane,"Water Quality Test","Belmont Wetlands State Park",401.05
"Gold Coast","Soil Quality Test","Belmont Wetlands State Park",401.01
Sydney,"Water Quality Test","Hunter Wetlands Centre",400.98
Canberra,"Water Quality Test","Watagan Mountains",400.98
"Gold Coast","Soil Quality Test","Belmont Wetlands State Park",400.96
Canberra,"Noise Level Measurement","Richley Reserve",400.95
"Gold Coast","Air Quality Check","King Edward Park",400.9
Perth,"Air Quality Check","Richley Reserve",400.86
Adelaide,"Water Quality Test","Lambton Park",400.83
"Gold Coast","Water Quality Test","Lambton Park",400.82
Canberra,"Air Quality Check","Charlestown Park",400.8
Hobart,"Water Quality Test","Blackbutt Nature Reserve",400.74
Adelaide,"Soil Quality Test","Toronto Foreshore",400.71
Hobart,"Noise Level Measurement","Newcastle Beach",400.71
Sydney,"Soil Quality Test","Speers Point Park",400.61
Adelaide,"Water Quality Test","Awaba State Forest",400.61
Adelaide,"Air Quality Check","King Edward Park",400.49
Adelaide,"Air Quality Check","Hunter Wetlands Centre",400.49
Canberra,"Soil Quality Test","Heaton State Forest",400.48
Canberra,"Water Quality Test","Redhead Beach",400.44
Brisbane,"Air Quality Check","Waratah Park",400.43
Adelaide,"Soil Quality Test","Lambton Park",400.38
Brisbane,"Noise Level Measurement","Awaba State Forest",400.37
Hobart,"Soil Quality Test","Nobbys Beach",400.34
Newcastle,"Air Quality Check","Nobbys Beach",400.3
Adelaide,"Soil Quality Test","Merewether Beach",400.21
Hobart,"Noise Level Measurement","Charlestown Park",400.1
Perth,"Soil Quality Test","Waratah Park",400.09
Hobart,"Water Quality Test","Richley Reserve",400.08
Perth,"Air Quality Check","Warners Bay Foreshore",400.07
"Gold Coast","Water Quality Test","Speers Point Park",399.99
Brisbane,"Soil Quality Test","Redhead Beach",399.84
Newcastle,"Air Quality Check","Lambton Park",399.81
Darwin,"Noise Level Measurement","Hunter Wetlands Centre",399.81
Brisbane,"Water Quality Test","Braye Park",399.75
"Gold Coast","Water Quality Test","Speers Point Park",399.74
Newcastle,"Water Quality Test","Charlestown Park",399.74
Canberra,"Air Quality Check","Jesmond Park",399.72
Perth,"Soil Quality Test","Charlestown Park",399.69
Canberra,"Noise Level Measurement","Jesmond Park",399.65
Canberra,"Air Quality Check","Blackbutt Nature Reserve",399.57
Newcastle,"Noise Level Measurement","Waratah Park",399.56
Adelaide,"Air Quality Check","Hunter Wetlands Centre",399.49
Perth,"Noise Level Measurement","Croudace Bay Park",399.45
Perth,"Soil Quality Test","Heaton State Forest",399.38
Newcastle,"Water Quality Test","Jesmond Park",399.34
Canberra,"Soil Quality Test","Belmont Wetlands State Park",399.25
Canberra,"Water Quality Test","Heaton State Forest",399.24
"Gold Coast","Water Quality Test","King Edward Park",399.23
Melbourne,"Water Quality Test","Waratah Park",399.22
Darwin,"Water Quality Test","Belmont Wetlands State Park",399.17
"Gold Coast","Air Quality Check","Lambton Park",399.13
Perth,"Air Quality Check","Glenrock State Conservation Area",399.08
Canberra,"Air Quality Check","Warners Bay Foreshore",399.06
Perth,"Air Quality Check","Nobbys Beach",399
"Gold Coast","Air Quality Check","Waratah Park",398.98
Melbourne,"Noise Level Measurement","Croudace Bay Park",398.87
Melbourne,"Air Quality Check","Richley Reserve",398.76
Newcastle,"Water Quality Test","Warners Bay Foreshore",398.73
Hobart,"Air Quality Check","Glenrock State Conservation Area",398.72
Newcastle,"Water Quality Test","Blackbutt Nature Reserve",398.69
Newcastle,"Noise Level Measurement","Charlestown Park",398.69
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",398.64
Newcastle,"Noise Level Measurement","Heaton State Forest",398.54
Canberra,"Noise Level Measurement","Charlestown Park",398.53
Brisbane,"Water Quality Test","Belmont Wetlands State Park",398.46
Brisbane,"Noise Level Measurement","King Edward Park",398.44
Sydney,"Air Quality Check","Belmont Wetlands State Park",398.34
Perth,"Water Quality Test","Richley Reserve",398.33
Brisbane,"Air Quality Check","Braye Park",398.32
Darwin,"Noise Level Measurement","Mount Sugarloaf",398.31
Darwin,"Water Quality Test","Toronto Foreshore",398.18
Adelaide,"Soil Quality Test","Braye Park",398.16
Hobart,"Noise Level Measurement","Glenrock State Conservation Area",398.15
Melbourne,"Soil Quality Test","Watagan Mountains",398.1
Adelaide,"Water Quality Test","Mount Sugarloaf",397.95
Brisbane,"Soil Quality Test","Mount Sugarloaf",397.93
Perth,"Soil Quality Test","Glenrock State Conservation Area",397.93
"Gold Coast","Air Quality Check","Toronto Foreshore",397.92
Sydney,"Noise Level Measurement","Speers Point Park",397.89
Hobart,"Noise Level Measurement","Waratah Park",397.86
Sydney,"Soil Quality Test","Redhead Beach",397.77
Sydney,"Air Quality Check","Braye Park",397.77
Brisbane,"Air Quality Check","Lambton Park",397.71
"Gold Coast","Water Quality Test","Heaton State Forest",397.69
Sydney,"Noise Level Measurement","Hunter Wetlands Centre",397.69
"Gold Coast","Noise Level Measurement","Merewether Beach",397.63
Hobart,"Noise Level Measurement","Jesmond Park",397.61
Melbourne,"Water Quality Test","Croudace Bay Park",397.56
Darwin,"Noise Level Measurement","Belmont Wetlands State Park",397.52
Melbourne,"Soil Quality Test","Richley Reserve",397.48
"Gold Coast","Noise Level Measurement","Hunter Wetlands Centre",397.44
Sydney,"Air Quality Check","Braye Park",397.36
Newcastle,"Soil Quality Test","Richley Reserve",397.36
"Gold Coast","Soil Quality Test","Hunter Wetlands Centre",397.35
Adelaide,"Water Quality Test","King Edward Park",397.21
Hobart,"Air Quality Check","Waratah Park",397.2
Perth,"Air Quality Check","Warners Bay Foreshore",397.12
Newcastle,"Soil Quality Test","Charlestown Park",397.11
Brisbane,"Noise Level Measurement","Hunter Wetlands Centre",397.1
Perth,"Air Quality Check","Heaton State Forest",396.89
"Gold Coast","Soil Quality Test","Lambton Park",396.87
Melbourne,"Noise Level Measurement","Richley Reserve",396.83
Melbourne,"Air Quality Check","Merewether Beach",396.62
Adelaide,"Air Quality Check","Toronto Foreshore",396.59
"Gold Coast","Water Quality Test","Redhead Beach",396.51
Hobart,"Water Quality Test","Waratah Park",396.49
Hobart,"Noise Level Measurement","Nobbys Beach",396.48
Darwin,"Soil Quality Test","Belmont Wetlands State Park",396.45
Canberra,"Soil Quality Test","Jesmond Park",396.38
Newcastle,"Soil Quality Test","Nobbys Beach",396.36
Newcastle,"Water Quality Test","Nobbys Beach",396.33
Adelaide,"Water Quality Test","King Edward Park",396.33
Hobart,"Noise Level Measurement","Newcastle Beach",396.31
Canberra,"Noise Level Measurement","Waratah Park",396.3
Brisbane,"Soil Quality Test","Mount Sugarloaf",396.29
Canberra,"Water Quality Test","Charlestown Park",396.29
Brisbane,"Noise Level Measurement","King Edward Park",396.22
Darwin,"Air Quality Check","Awaba State Forest",396.19
Hobart,"Noise Level Measurement","Charlestown Park",396.07
Darwin,"Noise Level Measurement","Speers Point Park",396.02
Canberra,"Soil Quality Test","Warners Bay Foreshore",395.93
Melbourne,"Air Quality Check","Waratah Park",395.91
Perth,"Noise Level Measurement","Newcastle Beach",395.86
Hobart,"Air Quality Check","Watagan Mountains",395.86
Newcastle,"Air Quality Check","Heaton State Forest",395.85
Hobart,"Water Quality Test","Nobbys Beach",395.84
Sydney,"Air Quality Check","Redhead Beach",395.8
Brisbane,"Air Quality Check","Belmont Wetlands State Park",395.79
Brisbane,"Water Quality Test","Hunter Wetlands Centre",395.78
Hobart,"Air Quality Check","Blackbutt Nature Reserve",395.77
Newcastle,"Soil Quality Test","Heaton State Forest",395.71
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",395.7
Adelaide,"Soil Quality Test","Belmont Wetlands State Park",395.66
Melbourne,"Air Quality Check","Blackbutt Nature Reserve",395.56
Canberra,"Air Quality Check","Blackbutt Nature Reserve",395.56
Perth,"Noise Level Measurement","Glenrock State Conservation Area",395.54
Newcastle,"Air Quality Check","Watagan Mountains",395.53
Melbourne,"Water Quality Test","Waratah Park",395.39
Perth,"Air Quality Check","Blackbutt Nature Reserve",395.35
Perth,"Noise Level Measurement","Richley Reserve",395.35
Brisbane,"Water Quality Test","Merewether Beach",395.34
Darwin,"Air Quality Check","Mount Sugarloaf",395.34
Canberra,"Water Quality Test","Warners Bay Foreshore",395.29
Hobart,"Soil Quality Test","Heaton State Forest",395.29
Perth,"Soil Quality Test","Nobbys Beach",395.25
Sydney,"Soil Quality Test","Toronto Foreshore",395.25
Canberra,"Air Quality Check","Nobbys Beach",395.24
Darwin,"Noise Level Measurement","Mount Sugarloaf",395.24
Hobart,"Water Quality Test","Newcastle Beach",395.2
Darwin,"Air Quality Check","King Edward Park",395.11
Melbourne,"Water Quality Test","Jesmond Park",395.1
Canberra,"Soil Quality Test","Warners Bay Foreshore",395.07
Canberra,"Air Quality Check","Warners Bay Foreshore",395.03
"Gold Coast","Air Quality Check","Hunter Wetlands Centre",394.93
Canberra,"Air Quality Check","Glenrock State Conservation Area",394.88
Adelaide,"Soil Quality Test","King Edward Park",394.85
Newcastle,"Soil Quality Test","Waratah Park",394.72
Darwin,"Soil Quality Test","Toronto Foreshore",394.71
Perth,"Soil Quality Test","Watagan Mountains",394.68
Canberra,"Soil Quality Test","Newcastle Beach",394.65
Sydney,"Noise Level Measurement","Hunter Wetlands Centre",394.6
Newcastle,"Air Quality Check","Jesmond Park",394.57
Melbourne,"Soil Quality Test","Waratah Park",394.54
Perth,"Water Quality Test","Newcastle Beach",394.36
Melbourne,"Soil Quality Test","Charlestown Park",394.32
Adelaide,"Soil Quality Test","Speers Point Park",394.32
Canberra,"Water Quality Test","Charlestown Park",394.29
Darwin,"Water Quality Test","King Edward Park",394.27
Hobart,"Air Quality Check","Watagan Mountains",394.25
"Gold Coast","Soil Quality Test","Speers Point Park",394.22
Melbourne,"Soil Quality Test","Newcastle Beach",394.21
Hobart,"Air Quality Check","Jesmond Park",394.15
Newcastle,"Noise Level Measurement","Croudace Bay Park",394.14
Sydney,"Air Quality Check","King Edward Park",394.14
Melbourne,"Noise Level Measurement","Heaton State Forest",394.13
Sydney,"Noise Level Measurement","Redhead Beach",394.1
Newcastle,"Noise Level Measurement","Jesmond Park",394.07
Hobart,"Air Quality Check","Blackbutt Nature Reserve",394.03
Perth,"Noise Level Measurement","Jesmond Park",394
"Gold Coast","Noise Level Measurement","Lambton Park",394
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",393.96
"Gold Coast","Soil Quality Test","Toronto Foreshore",393.85
Newcastle,"Water Quality Test","Jesmond Park",393.83
Hobart,"Soil Quality Test","Croudace Bay Park",393.82
Canberra,"Water Quality Test","Blackbutt Nature Reserve",393.79
"Gold Coast","Noise Level Measurement","Lambton Park",393.76
Newcastle,"Soil Quality Test","Newcastle Beach",393.74
Newcastle,"Noise Level Measurement","Heaton State Forest",393.72
Darwin,"Water Quality Test","Merewether Beach",393.65
Adelaide,"Air Quality Check","Hunter Wetlands Centre",393.6
Sydney,"Water Quality Test","Mount Sugarloaf",393.57
"Gold Coast","Noise Level Measurement","King Edward Park",393.54
Sydney,"Soil Quality Test","Lambton Park",393.51
Newcastle,"Water Quality Test","Glenrock State Conservation Area",393.49
Melbourne,"Soil Quality Test","Blackbutt Nature Reserve",393.49
Darwin,"Noise Level Measurement","Hunter Wetlands Centre",393.45
"Gold Coast","Soil Quality Test","Redhead Beach",393.41
Canberra,"Noise Level Measurement","Heaton State Forest",393.4
Darwin,"Soil Quality Test","King Edward Park",393.38
Brisbane,"Air Quality Check","Speers Point Park",393.35
Darwin,"Soil Quality Test","King Edward Park",393.35
Darwin,"Soil Quality Test","Hunter Wetlands Centre",393.3
Newcastle,"Air Quality Check","Blackbutt Nature Reserve",393.28
Brisbane,"Water Quality Test","Awaba State Forest",393.28
Sydney,"Air Quality Check","Waratah Park",393.27
Darwin,"Soil Quality Test","Redhead Beach",393.25
Melbourne,"Water Quality Test","Jesmond Park",393.23
Adelaide,"Water Quality Test","Belmont Wetlands State Park",393.17
Perth,"Soil Quality Test","Richley Reserve",393.13
Sydney,"Air Quality Check","King Edward Park",393.13
"Gold Coast","Noise Level Measurement","King Edward Park",392.89
Darwin,"Noise Level Measurement","Merewether Beach",392.87
Sydney,"Water Quality Test","King Edward Park",392.83
Perth,"Soil Quality Test","Jesmond Park",392.8
Brisbane,"Soil Quality Test","Jesmond Park",392.72
Hobart,"Noise Level Measurement","Watagan Mountains",392.71
Sydney,"Noise Level Measurement","King Edward Park",392.67
Canberra,"Noise Level Measurement","Blackbutt Nature Reserve",392.67
Hobart,"Noise Level Measurement","Charlestown Park",392.67
Sydney,"Noise Level Measurement","Merewether Beach",392.56
Hobart,"Air Quality Check","Croudace Bay Park",392.55
Newcastle,"Noise Level Measurement","Charlestown Park",392.47
Newcastle,"Water Quality Test","Warners Bay Foreshore",392.45
Sydney,"Soil Quality Test","Speers Point Park",392.4
Melbourne,"Noise Level Measurement","Newcastle Beach",392.34
Adelaide,"Water Quality Test","Hunter Wetlands Centre",392.34
Canberra,"Soil Quality Test","Jesmond Park",392.32
Hobart,"Soil Quality Test","Nobbys Beach",392.26
Sydney,"Air Quality Check","Hunter Wetlands Centre",392.26
Darwin,"Water Quality Test","King Edward Park",392.22
Newcastle,"Soil Quality Test","Richley Reserve",392.19
Adelaide,"Air Quality Check","Awaba State Forest",392.09
Newcastle,"Soil Quality Test","Heaton State Forest",392.07
Perth,"Soil Quality Test","Charlestown Park",392.05
Melbourne,"Water Quality Test","Glenrock State Conservation Area",392
Sydney,"Water Quality Test","Belmont Wetlands State Park",391.99
Sydney,"Water Quality Test","Speers Point Park",391.83
Sydney,"Soil Quality Test","Awaba State Forest",391.82
Canberra,"Noise Level Measurement","Charlestown Park",391.79
Hobart,"Water Quality Test","Newcastle Beach",391.77
Darwin,"Noise Level Measurement","Lambton Park",391.77
Canberra,"Water Quality Test","Watagan Mountains",391.72
Adelaide,"Noise Level Measurement","Blackbutt Nature Reserve",391.71
"Gold Coast","Air Quality Check","Braye Park",391.68
Hobart,"Air Quality Check","Waratah Park",391.68
Melbourne,"Water Quality Test","Nobbys Beach",391.67
Perth,"Soil Quality Test","Jesmond Park",391.66
Darwin,"Air Quality Check","Richley Reserve",391.66
Brisbane,"Noise Level Measurement","Braye Park",391.62
Perth,"Water Quality Test","Watagan Mountains",391.57
"Gold Coast","Noise Level Measurement","Belmont Wetlands State Park",391.51
Brisbane,"Noise Level Measurement","Lambton Park",391.5
Brisbane,"Air Quality Check","Braye Park",391.43
Canberra,"Air Quality Check","Blackbutt Nature Reserve",391.34
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",391.29
Newcastle,"Air Quality Check","Heaton State Forest",391.26
Perth,"Air Quality Check","Newcastle Beach",391.21
Adelaide,"Noise Level Measurement","Speers Point Park",391.19
Canberra,"Air Quality Check","Nobbys Beach",391.17
Perth,"Water Quality Test","Blackbutt Nature Reserve",391.17
Adelaide,"Air Quality Check","King Edward Park",391.13
Melbourne,"Noise Level Measurement","Warners Bay Foreshore",391.1
Adelaide,"Noise Level Measurement","Belmont Wetlands State Park",391.08
Newcastle,"Water Quality Test","Heaton State Forest",391.04
Hobart,"Water Quality Test","Awaba State Forest",390.92
Sydney,"Air Quality Check","Merewether Beach",390.87
Hobart,"Air Quality Check","Watagan Mountains",390.87
Sydney,"Soil Quality Test","Belmont Wetlands State Park",390.83
Adelaide,"Noise Level Measurement","Toronto Foreshore",390.83
Darwin,"Soil Quality Test","Merewether Beach",390.83
Canberra,"Air Quality Check","Croudace Bay Park",390.83
Canberra,"Water Quality Test","Newcastle Beach",390.81
Hobart,"Soil Quality Test","Richley Reserve",390.76
Adelaide,"Noise Level Measurement","Speers Point Park",390.71
Newcastle,"Soil Quality Test","Croudace Bay Park",390.7
Melbourne,"Water Quality Test","Nobbys Beach",390.66
Darwin,"Noise Level Measurement","Merewether Beach",390.64
Adelaide,"Air Quality Check","King Edward Park",390.64
Perth,"Air Quality Check","Jesmond Park",390.59
Newcastle,"Water Quality Test","Heaton State Forest",390.47
Adelaide,"Noise Level Measurement","Mount Sugarloaf",390.46
Melbourne,"Water Quality Test","Newcastle Beach",390.46
"Gold Coast","Soil Quality Test","Hunter Wetlands Centre",390.46
Melbourne,"Water Quality Test","Waratah Park",390.44
Melbourne,"Soil Quality Test","Charlestown Park",390.37
Sydney,"Soil Quality Test","Braye Park",390.33
Brisbane,"Noise Level Measurement","Redhead Beach",390.26
Perth,"Water Quality Test","Waratah Park",390.22
Melbourne,"Water Quality Test","Nobbys Beach",390.17
Sydney,"Noise Level Measurement","Speers Point Park",390.07
Sydney,"Soil Quality Test","Toronto Foreshore",390.05
Brisbane,"Noise Level Measurement","Merewether Beach",390.05
"Gold Coast","Noise Level Measurement","King Edward Park",389.93
Hobart,"Noise Level Measurement","Richley Reserve",389.91
Perth,"Water Quality Test","Watagan Mountains",389.9
Sydney,"Air Quality Check","Heaton State Forest",389.8
"Gold Coast","Water Quality Test","Lambton Park",389.8
Hobart,"Noise Level Measurement","Heaton State Forest",389.78
Sydney,"Soil Quality Test","King Edward Park",389.71
Melbourne,"Water Quality Test","Nobbys Beach",389.68
"Gold Coast","Air Quality Check","Redhead Beach",389.6
Canberra,"Water Quality Test","Charlestown Park",389.55
Hobart,"Soil Quality Test","Watagan Mountains",389.53
Hobart,"Noise Level Measurement","Waratah Park",389.51
Canberra,"Air Quality Check","Blackbutt Nature Reserve",389.5
Adelaide,"Water Quality Test","Toronto Foreshore",389.48
Adelaide,"Air Quality Check","Toronto Foreshore",389.48
Canberra,"Noise Level Measurement","Warners Bay Foreshore",389.37
Adelaide,"Air Quality Check","Redhead Beach",389.33
Perth,"Soil Quality Test","Charlestown Park",389.24
Perth,"Water Quality Test","Charlestown Park",389.23
Brisbane,"Soil Quality Test","Lambton Park",389.18
Hobart,"Noise Level Measurement","Jesmond Park",389.09
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",389.05
Adelaide,"Noise Level Measurement","Redhead Beach",388.99
Brisbane,"Air Quality Check","Speers Point Park",388.95
Sydney,"Air Quality Check","Awaba State Forest",388.94
Darwin,"Water Quality Test","Braye Park",388.93
Adelaide,"Soil Quality Test","Awaba State Forest",388.92
Hobart,"Water Quality Test","Nobbys Beach",388.91
"Gold Coast","Noise Level Measurement","King Edward Park",388.89
Sydney,"Air Quality Check","Awaba State Forest",388.84
Canberra,"Soil Quality Test","Blackbutt Nature Reserve",388.83
Hobart,"Water Quality Test","Waratah Park",388.83
Perth,"Soil Quality Test","Jesmond Park",388.8
Hobart,"Air Quality Check","Charlestown Park",388.55
Melbourne,"Noise Level Measurement","Nobbys Beach",388.54
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",388.51
Brisbane,"Noise Level Measurement","Belmont Wetlands State Park",388.46
Melbourne,"Air Quality Check","Charlestown Park",388.42
Canberra,"Air Quality Check","Watagan Mountains",388.41
Newcastle,"Water Quality Test","Heaton State Forest",388.38
Canberra,"Noise Level Measurement","Heaton State Forest",388.37
Adelaide,"Soil Quality Test","Belmont Wetlands State Park",388.33
Newcastle,"Noise Level Measurement","Watagan Mountains",388.31
Adelaide,"Noise Level Measurement","Lambton Park",388.29
Melbourne,"Noise Level Measurement","Glenrock State Conservation Area",388.29
Darwin,"Water Quality Test","Redhead Beach",388.28
"Gold Coast","Noise Level Measurement","Braye Park",388.27
Brisbane,"Air Quality Check","Speers Point Park",388.26
Adelaide,"Water Quality Test","Mount Sugarloaf",388.23
Brisbane,"Air Quality Check","Toronto Foreshore",388.22
"Gold Coast","Soil Quality Test","Redhead Beach",388.19
Darwin,"Noise Level Measurement","Brisbane Beach",388.19
Melbourne,"Water Quality Test","Croudace Bay Park",388.02
Canberra,"Water Quality Test","Heaton State Forest",387.99
"Gold Coast","Noise Level Measurement","Toronto Foreshore",387.93
"Gold Coast","Water Quality Test","Jesmond Park",387.92
Adelaide,"Noise Level Measurement","King Edward Park",387.92
Canberra,"Noise Level Measurement","Charlestown Park",387.91
Brisbane,"Noise Level Measurement","Lambton Park",387.86
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",387.86
Canberra,"Noise Level Measurement","Watagan Mountains",387.83
Canberra,"Soil Quality Test","Waratah Park",387.83
Hobart,"Soil Quality Test","Richley Reserve",387.8
Melbourne,"Water Quality Test","Charlestown Park",387.8
Darwin,"Water Quality Test","Braye Park",387.76
Newcastle,"Air Quality Check","Richley Reserve",387.76
Brisbane,"Water Quality Test","Lambton Park",387.75
"Gold Coast","Soil Quality Test","Awaba State Forest",387.75
Newcastle,"Soil Quality Test","Awaba State Forest",387.72
Sydney,"Noise Level Measurement","Toronto Foreshore",387.72
Newcastle,"Water Quality Test","Nobbys Beach",387.7
Newcastle,"Noise Level Measurement","Waratah Park",387.63
Darwin,"Water Quality Test","Braye Park",387.6
Adelaide,"Noise Level Measurement","Belmont Wetlands State Park",387.53
Hobart,"Air Quality Check","Croudace Bay Park",387.51
Hobart,"Noise Level Measurement","Jesmond Park",387.51
Canberra,"Noise Level Measurement","Nobbys Beach",387.43
Darwin,"Noise Level Measurement","Hunter Wetlands Centre",387.4
Hobart,"Soil Quality Test","Warners Bay Foreshore",387.35
Darwin,"Soil Quality Test","Speers Point Park",387.31
Brisbane,"Water Quality Test","Speers Point Park",387.29
Perth,"Air Quality Check","Jesmond Park",387.24
Sydney,"Noise Level Measurement","Braye Park",387.22
Sydney,"Water Quality Test","King Edward Park",387.2
"Gold Coast","Soil Quality Test","Awaba State Forest",387.16
Melbourne,"Air Quality Check","Lambton Park",387.13
Newcastle,"Water Quality Test","Warners Bay Foreshore",387.12
Hobart,"Air Quality Check","Jesmond Park",387.1
Perth,"Air Quality Check","Croudace Bay Park",387.07
Adelaide,"Water Quality Test","Braye Park",387.05
